path,label,predictions_raw,prediction
./Dataset/Face/Positive/01-01-03-02-02-02-04/3.jpg,Positive,"['Positive', 'Positive', 'Positive']",Positive
./Dataset/Face/Positive/01-01-03-02-02-02-07/17.jpg,Positive,"['Positive', 'Positive', 'Positive']",Positive
./Dataset/Face/Positive/01-01-03-01-02-01-13/7.jpg,Positive,"['Positive', 'Positive', 'Positive']",Positive
./Dataset/Face/Positive/01-01-03-02-02-02-07/11.jpg,Positive,"['Positive', 'Positive', 'Positive']",Positive
./Dataset/Face/Positive/01-01-03-02-01-02-06/4.jpg,Positive,"['Positive', 'Positive', 'Positive']",Positive
./Dataset/Face/Positive/01-01-03-02-02-02-19/10.jpg,Positive,"['Positive', 'Positive', 'Positive']",Positive
./Dataset/Face/Positive/01-01-03-02-01-02-05/8.jpg,Positive,"['Positive', 'Positive', 'Positive']",Positive
./Dataset/Face/Positive/01-01-03-02-02-02-19/16.jpg,Positive,"['Positive', 'Positive', 'Positive']",Positive
./Dataset/Face/Positive/01-01-03-02-01-02-12/15.jpg,Positive,"['Positive', 'Positive', 'Positive']",Positive
./Dataset/Face/Positive/01-01-03-02-02-02-02/11.jpg,Positive,"['Positive', 'Positive', 'Positive']",Positive
./Dataset/Face/Positive/01-01-03-02-01-02-11/10.jpg,Positive,"['Positive', 'Positive', 'Positive']",Positive
./Dataset/Face/Positive/01-01-03-02-01-02-12/1.jpg,Positive,"['Neutral', 'Neutral', 'Neutral']",Neutral
./Dataset/Face/Positive/01-01-03-01-01-01-13/3.jpg,Positive,"['Positive', 'Positive', 'Positive']",Positive
./Dataset/Face/Positive/01-01-03-02-01-02-02/15.jpg,Positive,"['Positive', 'Positive', 'Positive']",Positive
./Dataset/Face/Positive/01-01-03-02-01-02-04/9.jpg,Positive,"['Positive', 'Positive', 'Positive']",Positive
./Dataset/Face/Positive/01-01-03-02-01-01-02/15.jpg,Positive,"['Positive', 'Positive', 'Positive']",Positive
./Dataset/Face/Positive/01-01-03-01-01-02-17/9.jpg,Positive,"['Positive', 'Positive', 'Positive']",Positive
./Dataset/Face/Positive/01-01-03-01-02-01-15/18.jpg,Positive,"['Positive', 'Positive', 'Positive']",Positive
./Dataset/Face/Positive/01-01-03-02-01-01-15/2.jpg,Positive,"['Neutral', 'Neutral', 'Neutral']",Neutral
